age,salary_income,business_receipts,interest_from_deposit,dividend_income,mutual_fund_investments,sale_of_property,purchase_of_property,annual_credit_card_payments,annual_emi_payments,total_outflow_ratio,liquidity_ratio,will_fall_in_debt
59,89643.45198024169,0.0,44177.21776311504,27244.56494524583,311247.1984379355,0.0,0.0,11453.345578320432,714.9519194149561,0.07554840728263729,2.3758485562546956,0
49,355955.3238400075,0.0,329252.5606787136,39376.57348457595,79466.62661707491,0.0,0.0,170945.56649287866,132554.10036406806,0.4188597266267048,0.6184167179053786,0
35,1501700.5696981612,2127755.820669917,77315.31486868352,30757.35623313656,3505.593079318,0.0,0.0,837478.0318754618,1192370.3626860103,0.543098881126637,0.029853476051308735,1
63,784754.476674302,0.0,1603.3529113579661,1171.7650403398573,51260.14009235082,0.0,0.0,207104.75487177772,236029.33466550114,0.5626880943561618,0.06861353503315018,1
28,617787.4522064325,1233053.321007415,64182.501068832724,99554.37368994826,768434.1300600035,0.0,0.0,165204.9386018341,717309.0379940883,0.43806379933791134,0.46271264006340723,1
41,197082.30170255946,0.0,238.08629385675047,4988.499218464431,72743.6981255524,0.0,0.0,2791.386221526555,90992.3096981625,0.46356457022823605,0.385400262494628,1
59,699750.9667935175,3565363.498129226,133829.61802882305,197194.75698924746,263945.80400809605,24830084.0262477,21375972.67977205,300908.84985393105,647826.5491284387,0.20642004639149256,0.12944997318311105,0
39,1767226.8881062136,644045.0253618475,83458.42864232702,95297.476927224,1032729.8181215815,0.0,0.0,370497.11053132854,1234558.2492169566,0.6197055986213629,0.4677499009996689,1
43,367851.1371691326,2151886.2902619923,11631.037154786864,41205.5511050658,23611.13663587569,0.0,0.0,374492.02808861627,911953.5262736862,0.5000614351441065,0.02971642203995944,1
31,6495.800365561934,0.0,167670.71305170393,14064.677854371139,494979.77549363096,0.0,0.0,32849.70255479353,94422.85838609686,0.6761466255111696,3.595108582798898,0
31,1324970.7050816335,0.0,76881.34926024068,4509.703074128318,273060.48294642393,13051452.122072844,0.0,243116.7548504596,553340.0284397359,0.5663238585424254,0.2520342162160556,1
44,4317820.44236566,0.0,12110.647706800897,55711.959383618945,117202.42421533921,0.0,8386520.349275384,322509.557457251,488101.51905885217,0.18483284721126364,0.04218879353163792,1
56,1120205.3405271687,0.0,17436.63339652882,11251.603762288056,135887.11107316174,15604103.13455252,0.0,271439.1656524561,148732.43695088458,0.36571815270433056,0.14324669245410968,1
60,153293.49453403248,0.0,172655.53364325815,66066.59971655767,8267.71032470318,0.0,0.0,32771.77552768994,8120.357388168113,0.10431224087497375,0.6300494063517118,0
44,464089.36719891924,1329951.6773274338,43926.00929082719,89341.06767079105,88647.8439277261,0.0,0.0,16644.02447786896,219757.97771472577,0.12265909996320752,0.11514236009946129,1
23,2426690.3945530276,0.0,172090.6353821629,225334.73671302965,165182.23179373486,0.0,2631105.2503771014,422045.147401837,709469.9700646104,0.4006615912023273,0.19921541861622585,1
42,317646.5994655427,0.0,7203.6811651955595,35080.70042983217,378600.9059779491,0.0,0.0,93575.27075996305,32092.57622223428,0.34914332039044227,1.1693467369384691,0
22,1122861.580261775,8059485.374206959,27952.749464078563,183792.18229277933,96383.42190371227,0.0,0.0,1375740.5149904552,1545319.0856197677,0.31094642516185095,0.03280022428907147,1
44,618345.0926976788,0.0,144639.5151992086,8085.944780845457,260471.74461467337,0.0,0.0,100515.78793063477,288375.5688153206,0.5043518404944858,0.5358740095647414,1
64,279595.9022318266,8260046.469504127,102639.05740859944,90469.8052706371,394681.23578897165,0.0,0.0,1257840.1300843416,2407768.0395474825,0.4197540559075876,0.06730868833673843,1
50,2014589.9211072207,241062.56357268314,36647.20925008875,22298.88917702159,359726.31317068613,0.0,0.0,484939.9412413755,461913.4162394831,0.40907868660800734,0.18088330035720024,0
58,1629627.4772278399,9739483.813688116,274928.53575190145,22691.73309930249,267692.8146081814,20436609.73784674,0.0,1662577.7943156967,7367756.561511052,0.7740242873971367,0.048455133480034766,1
22,1300200.3009227647,218638.71948063772,23707.291026582698,15642.98634563509,260386.884980574,11458518.682480613,6268723.266680153,15184.084370509323,275089.81418568117,0.18628911948082866,0.1923623595787233,1
41,323553.78008529707,0.0,189565.15264497878,9522.355695204895,383189.9150483121,0.0,0.0,73897.98038488101,94489.8720199423,0.3221856633762087,1.1141031567550201,0
53,123578.68549302238,0.0,118988.54045456546,29189.188242282242,122621.43047894035,7805485.856046633,4293539.715378854,8902.551209365804,28368.755817567464,0.13714918188356304,0.9964738588018338,0
32,1030077.2067165762,0.0,12910.358181918007,218255.6267316496,179468.34266246337,20897270.132977936,0.0,119155.48544156917,670564.4973096488,0.6261436032704449,0.32557876603204866,0
42,968057.0896853643,0.0,80994.08678614763,20016.94182226986,1015894.3439824706,0.0,0.0,56160.80064984927,278261.6003255749,0.3128164449359059,1.044745707717619,0
64,250475.04083043276,0.0,265794.0632472013,30909.571176178026,331330.43012160424,0.0,0.0,75765.31725691597,80925.01517432576,0.28635992804111393,1.147765702835484,0
45,69468.57085516446,11934328.325161697,96468.31035148977,12971.212775717317,220123.38314761897,0.0,0.0,2976629.0225575226,908245.0573868564,0.32071311289619614,0.02720683949890856,1
